location,state,year,lat,long,Primary Funding Source ,fund_source,fund_type,length,volume,actual_cost,2013 CF$,cost_2013,$/CY,CY/Foot,Other Funding Info,Source/Comment
Assataegue Island NS,MD,2007,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","86,322.00","2,000,000.00",0.871,"2,296,211.25",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2007,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","59,481.00","2,000,000.00",0.871,"2,296,211.25",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2008,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","40,793.00","2,000,000.00",0.904,"2,212,389.38",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2009,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","74,647.00","2,000,000.00",0.901,"2,219,755.83",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2009,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.901,"2,219,755.83",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2010,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","74,647.00","2,000,000.00",0.916,"2,183,406.11",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2010,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.916,"2,183,406.11",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2011,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","74,647.00","2,000,000.00",0.964,"2,074,688.80",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2011,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.964,"2,074,688.80",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2012,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","74,647.00","2,000,000.00",0.964,"2,074,688.80",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2012,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.964,"2,074,688.80",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2013,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","74,647.00","2,000,000.00",0.978,"2,044,989.78",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2013,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.978,"2,044,989.78",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2014,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.994,"2,012,072.43",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,2015,38.289922,-75.112143,Federal,Federal,Restoration,"8,400.00","37,610.00","2,000,000.00",0.995,"2,010,050.25",https://www.nature.nps.gov/geology/monitoring/files/ASIS_ShorelineChange_TrendReport_.pdf,,,
Assataegue Island NS,MD,1990,38.311412,-75.104113,Unknown,Unknown,Unknown,0.00,"49,048.00",0.00,0.571,0.00,,,,
Assataegue Island NS,MD,2002,38.311412,-75.104113,Federal,Federal,Shore Protection,"31,168.00","1,831,131.00","12,338,000.00",0.758,"16,277,044.85",http://www.nab.usace.army.mil/portals/63/docs/FactSheets/FY15_Factsheets/MD-AssateagueIsRestoration-CG.pdf,,,
Assataegue State Park,MD,2001,38.241134,-75.134628,State,State,Shore Protection,"3,200.00","100,000.00","78,000.00",0.746,"104,557.64",http://el.erdc.usace.army.mil/workshops/05oct-dots/s2-Drucker.pdf,,,
Atlantic Beach,NC,1994,34.697614,-76.737912,Federal,Federal,Navigation,"11,000.00","2,472,132.00","1,897,363.00",0.621,"3,055,334.94",http://www.carteretcountync.gov/DocumentCenter/View/2793,,,
Atlantic Beach,NC,2005,34.697614,-76.737912,Federal,Federal,Navigation,"20,000.00","2,390,000.00","10,231,000.00",0.820,"12,476,829.27",http://www.carteretcountync.gov/DocumentCenter/View/2807,,,
Atlantic Beach,NC,2011,34.697614,-76.737912,Federal,Federal,Navigation,"11,500.00","799,504.00","7,576,752.00",0.964,"7,859,701.24",http://www.carteretcountync.gov/DocumentCenter/View/2820,,,
Atlantic Beach,NC,2014,34.697614,-76.737912,Federal,Federal,Navigation,"4,000.00","522,518.00","4,441,403.00",0.994,"4,468,212.27",http://www.carteretcountync.gov/DocumentCenter/View/2825,,,
Atlantic Highlands,NJ,1994,40.441558,-74.098799,State,State,Unknown,0.00,"24,000.00",0.00,0.621,0.00,,,,
Atlantic Highlands,NJ,1999,40.441558,-74.098799,State,State,Unknown,0.00,"40,000.00",0.00,0.699,0.00,,,,
Atlantic Highlands,NJ,2002,40.441558,-74.098799,State,State,Unknown,0.00,"22,000.00",0.00,0.758,0.00,,,,
Avalon,NJ,2003,39.098428,-74.711459,Federal,Federal,Shore Protection,"6,260.00","1,300,000.00",0.00,0.775,0.00,,,,
Avalon,NJ,2005,39.098428,-74.711459,State,State,Unknown,"1,400.00","57,000.00",0.00,0.820,0.00,,,,
Avalon,NJ,2008,39.098428,-74.711459,Federal,Federal,Shore Protection,"2,600.00","225,000.00",0.00,0.904,0.00,,,,
Avalon,NJ,2010,39.098428,-74.711459,Federal,Federal,Emergency,"2,200.00","500,000.00","4,500,000.00",0.916,"4,912,663.76",,,,
Avalon,NJ,2011,39.098428,-74.711459,Federal,Federal,Emergency,"4,475.00","450,000.00","9,338,000.00",0.964,"9,686,721.99",,,,
Avalon,NJ,2013,39.098428,-74.711459,Federal,Federal,Emergency,,"46,359.00","418,984.20",0.978,"428,409.20",https://www.fbo.gov/index?s=opportunity&mode=form&id=3db4c2b3c38c8e4035e5951a20691085&tab=core&_cview=1,,,
Avalon,NJ,2013,39.098428,-74.711459,Federal,Federal,Emergency,"5,000.00","75,000.00","2,150,543.00",0.978,"2,198,919.22",,,,
Avalon,NJ,1990,39.100226,-74.71055,Local,Local,Unknown,"2,500.00","404,000.00","600,000.00",0.571,"1,050,788.09",,,,
Avalon,NJ,1992,39.100226,-74.71055,Local,Local,Unknown,"3,000.00","410,000.00","1,188,000.00",0.588,"2,020,408.16",,,,
Avalon,NJ,1993,39.100226,-74.71055,Federal,Federal,Emergency,"2,800.00","239,000.00","1,777,193.00",0.606,"2,932,661.72",,,,
Avon by the Sea,NJ,2009,40.191791,-74.008713,Unknown,Unknown,Unknown,0.00,0.00,0.00,0.901,0.00,,,,
Bald Head Island,NC,2013,33.855876,-77.999067,Federal,Federal,Navigation,"12,000.00","1,800,000.00","15,234,166.00",0.978,"15,576,856.85",,,,
Bald Head Island,NC,2015,33.855876,-77.999067,Local,Local,Shore Protection,"9,000.00","1,400,000.00","8,000,000.00",0.995,"8,040,201.01",,,,
Bald Head Island,NC,1992,33.855876,-77.999067,Federal,Federal,Navigation,"12,300.00","800,000.00","900,000.00",0.588,"1,530,612.24",,,,
Bald Head Island,NC,1996,33.855876,-77.999067,Local,Local,Shore Protection,"13,000.00","715,000.00",0.00,0.658,0.00,,,,
Bald Head Island,NC,1997,33.855876,-77.999067,Local,Local,Shore Protection,0.00,"450,000.00",0.00,0.676,0.00,,,,
Bald Head Island,NC,2001,33.855876,-77.999067,Federal,Federal,Navigation,"16,000.00","1,849,000.00","7,077,000.00",0.746,"9,486,595.17",http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Bald Head Island,NC,2005,33.855876,-77.999067,Federal,Federal,Navigation,"16,000.00","1,217,000.00",0.00,0.820,0.00,,,,
Bald Head Island,NC,2006,33.855876,-77.999067,Local,Local,Shore Protection,0.00,"47,800.00",0.00,0.847,0.00,,,,
Bald Head Island,NC,2007,33.855876,-77.999067,Federal,Federal,Navigation,"16,000.00","978,500.00","8,780,000.00",0.871,"10,080,367.39",http://www.fws.gov/nc-es/pubs/fwca/wilmington/App_D_sand.pdf,,,
Bald Head Island,NC,2010,33.855876,-77.999067,Local,Local,Shore Protection,"16,200.00","1,800,000.00","17,000,000.00",0.916,"18,558,951.97",,,,
Bald Head Island,NC,2012,33.855876,-77.999067,Local,Local,Shore Protection,0.00,"140,000.00",0.00,0.964,0.00,,,,
Barataria Barrier Island Complex Project: Chaland Pass (BA-38),LA,2007,29.310212,-89.761895,Federal,Federal,Ecosystem Restoration,"16,368.00",,"43,512,727.00",0.871,"49,957,206.66",http://lacoast.gov/new/Projects/Info.aspx?num=BA-38,,,
Barnegat Light,NJ,1991,39.764626,-74.105426,Federal,Federal,Navigation,0.00,"75,000.00","326,087.00",0.571,"571,080.56",,,,
Batiquitos,CA,2001,33.084654,-117.312599,Federal,Federal,Shore Protection,"1,500.00","117,000.00",0.00,0.746,0.00,http://www.sandag.org/uploads/projectid/projectid_101_16641.pdf,,,
Bay County: Panama City Beach,FL,1996,30.176314,-85.807965,Federal,Federal,Navigation,0.00,"98,990.00","272,223.00",0.658,"413,712.77","MORTON, D., 1996. Panama City Site Office, U.S. Army Corps of Engineers. Personal communication",,,
Bay County: Panama City Beach,FL,1999,30.176314,-85.807965,Federal,Federal,Shore Protection,"93,080.00","9,800,000.00","33,000,000.00",0.699,"47,210,300.43",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2006,30.176314,-85.807965,Federal,Federal,Emergency,"89,760.00","3,200,000.00","23,500,000.00",0.847,"27,744,982.29",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2011,30.176314,-85.807965,Federal,Federal,Emergency,"42,240.00","1,400,000.00","13,300,000.00",0.964,"13,796,680.50",http://www.fws.gov/panamacity/resources/PCB2011NourishmentFWSTable%20A22.pdf,,,
Bay County: Panama City Beach,FL,2017,30.176314,-85.807965,Local,Local,Emergency,"18,480.00","840,000.00","17,800,000.00",1.000,"17,800,000.00",https://www.visitpanamacitybeach.com/things-to-do/beaches/beach-renourishment/,,,
Beach Plum Island,DE,1994,38.799109,-75.178615,State,State,Unknown,0.00,"15,000.00",0.00,0.621,0.00,,,,
Beach Pocket Park No. 2,TX,1999,29.226502,-94.896963,Unknown,Unknown,Unknown,485.00,"1,200.00",0.00,0.699,0.00,,,,
Belmar/Spring Lake,NJ,1994,40.164707,-74.017319,State,State,Shore Protection,"1,180.00","70,000.00","6,000,000.00",0.621,"9,661,835.75",,,,
Benson Beach,WA,2002,46.354274,-124.06414,Federal,Federal,Unknown,0.00,"43,000.00","1,025,000.00",0.758,"1,352,242.74",,,,
Bermuda Beach Subdivision,TX,2001,29.214096,-94.917047,State,State,Unknown,"3,110.00","15,900.00","200,000.00",0.746,"268,096.51",,,,
Bethany/South Bethany Beach,DE,1992,38.516525,-75.052564,State,State,Unknown,"4,850.00","192,749.00","905,786.00",0.588,"1,540,452.38",190,,,
Bethany/South Bethany Beach,DE,1994,38.516525,-75.052564,State,State,Unknown,"2,550.00","98,419.00","452,165.00",0.621,"728,123.99",190,,,
Bethany/South Bethany Beach,DE,1998,38.516525,-75.052564,State,State,Unknown,"3,400.00","168,900.00","707,635.00",0.685,"1,033,043.80",,,,
Bethany/South Bethany Beach,DE,1992,38.539808,-75.053873,State,State,Unknown,"5,138.00","219,735.00","1,037,303.00",0.588,"1,764,120.75",190,,,
Bethany/South Bethany Beach,DE,1994,38.539808,-75.053873,State,State,Unknown,"4,150.00","184,452.00","838,953.00",0.621,"1,350,971.01",,,,
Bethany/South Bethany Beach,DE,1998,38.539808,-75.053873,State,State,Unknown,"5,138.00","321,700.00","1,321,572.00",0.685,"1,929,302.19",,,,
Bethany/South Bethany Beach,DE,2008,38.539808,-75.053873,Federal,Federal,Shore Protection,"14,950.00","3,800,000.00","27,700,000.00",0.904,"30,641,592.92",,,,
Bethany/South Bethany Beach,DE,2011,38.539808,-75.053873,Federal,Federal,Emergency,"10,500.00","437,000.00","4,653,751.00",0.964,"4,827,542.53",,,,
Bethany/South Bethany Beach,DE,2012,38.539808,-75.053873,Federal,Federal,Shore Protection,"10,500.00","1,159,000.00","11,426,808.00",0.964,"11,853,535.27",,,,
Bethany/South Bethany Beach,DE,2013,38.539808,-75.053873,Federal,Federal,Emergency,"11,000.00","476,000.00","6,662,452.00",0.978,"6,812,323.11",https://www.fbo.gov/?s=opportunity&mode=form&tab=core&id=91defcdba46baa1b2b7b6f76c8004181&_cview=0,,,
Blake Island State Park,WA,2000,47.542932,-122.504597,Unknown,Unknown,Unknown,600.00,"3,500.00","18,000.00",0.725,"24,827.59",,,,
Block Island Harbor,RI,2009,41.177052,-71.563161,Federal,Federal,Navigation,0.00,"7,674.00","111,471.00",0.901,"123,719.20",,,,
Block Island Harbor,RI,2012,41.177052,-71.563161,Federal,Federal,Navigation,"3,000.00","3,000.00",0.00,0.964,0.00,http://www.nae.usace.army.mil/portals/74/docs/Navigation/BlockIsland4Jun12.pdf,,,
Bowers Beach,DE,1998,39.061499,-75.396992,State,State,Unknown,"2,200.00","101,405.00",0.00,0.685,0.00,,,,
Breezy Point/Roxbury,NY,1994,40.558992,-73.929116,Federal,Federal,Navigation,"7,500.00","199,000.00","1,288,000.00",0.621,"2,074,074.07",,,,
Brevard County: Mid Reach,FL,2005,28.150865,-80.582657,State,State,Emergency,"41,184.00","307,300.00","9,446,935.00",0.820,"11,520,652.44",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2006,28.150865,-80.582657,Federal,Federal,Emergency,"41,184.00","127,584.00","4,219,006.00",0.847,"4,981,116.88",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2008,28.150865,-80.582657,State,State,Emergency,"41,184.00","95,777.00","2,266,715.00",0.904,"2,507,428.10",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2009,28.150865,-80.582657,Federal,Federal,Emergency,"41,184.00","91,822.00","2,222,613.00",0.901,"2,466,829.08",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1994,28.36784,-80.602083,Federal,Federal,Shore Protection,"5,100.00","100,000.00","190,000.00",0.621,"305,958.13",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1995,28.36784,-80.602083,Federal,Federal,Navigation,0.00,"742,000.00","3,601,942.00",0.641,"5,619,254.29",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1996,28.36784,-80.602083,Federal,Federal,Shore Protection,"2,500.00","40,000.00","341,000.00",0.658,"518,237.08",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2001,28.36784,-80.602083,Federal,Federal,Shore Protection,"49,632.00","3,204,900.00","22,628,432.00",0.746,"30,333,018.77",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2005,28.36784,-80.602083,Federal,Federal,Emergency,"31,416.00","755,000.00",0.00,0.820,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2014,28.36784,-80.602083,Federal,Federal,Emergency,"36,960.00","972,410.00","11,920,207.00",0.994,"11,992,159.96",http://spacecoastdaily.com/2013/05/brevard-shoreline-renourishment-begins-in-november/,,,
Brevard County: North Reach (NSD),FL,1992,28.318587,-80.60739,Federal,Federal,Navigation,0.00,"79,000.00",0.00,0.588,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1993,28.318587,-80.60739,Federal,Federal,Navigation,0.00,"50,000.00",0.00,0.606,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1994,28.318587,-80.60739,Federal,Federal,Navigation,0.00,"68,000.00",0.00,0.621,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1995,28.318587,-80.60739,Federal,Federal,Navigation,0.00,"122,000.00",0.00,0.641,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,1996,28.238729,-80.600921,Federal,Federal,Shore Protection,"18,000.00","100,000.00","1,300,000.00",0.658,"1,975,683.89",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,1998,28.238729,-80.600921,Federal,Federal,Shore Protection,0.00,"165,000.00",0.00,0.685,0.00,,,,
Brevard County: Patrick Air Force Base,FL,2001,28.238729,-80.600921,Federal,Federal,Shore Protection,"15,840.00","598,000.00","500,000.00",0.746,"670,241.29",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,2005,28.238729,-80.600921,Federal,Federal,Emergency,"10,200.00","350,000.00",0.00,0.820,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,2011,28.238729,-80.600921,Federal,Federal,Shore Protection,0.00,"60,000.00",0.00,0.964,0.00,,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1995,28.390947,-80.595667,Federal,Federal,Navigation,0.00,"783,000.00",0.00,0.641,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1998,28.390947,-80.595667,Federal,Federal,Navigation,0.00,"1,035,000.00",0.00,0.685,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,2007,28.390947,-80.595667,Federal,Federal,Navigation,0.00,"750,000.00",0.00,0.871,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,2010,28.390947,-80.595667,Federal,Federal,Navigation,0.00,"650,000.00",0.00,0.916,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1990,27.859054,-80.446873,State,State,Unknown,0.00,"235,000.00","735,450.00",0.571,"1,288,003.50",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1993,27.859054,-80.446873,State,State,Unknown,0.00,"116,520.00","675,093.00",0.606,"1,114,014.85",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,State,Unknown,0.00,"290,000.00",0.00,0.676,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,State,Unknown,0.00,"236,000.00",0.00,0.676,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2006,27.859054,-80.446873,Federal,Federal,Emergency,"70,800.00","47,770.00","1,581,000.00",0.847,"1,866,587.96",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2008,27.859054,-80.446873,State,State,Emergency,"70,800.00","30,948.00","733,285.00",0.904,"811,155.97",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2009,27.859054,-80.446873,Federal,Federal,Emergency,"70,800.00","69,132.00","1,673,387.00",0.901,"1,857,255.27",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2014,27.859054,-80.446873,Federal,Federal,Emergency,"70,800.00","47,248.00","1,673,387.00",0.994,"1,683,487.93",,,,
Brevard County: South Reach/Indialantic,FL,2002,28.080008,-80.560856,Federal,Federal,Shore Protection,"15,840.00","1,250,000.00","7,330,662.00",0.758,"9,671,058.05",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2003,28.080008,-80.560856,Federal,Federal,Shore Protection,"4,962.00","324,000.00","1,900,107.00",0.775,"2,451,750.97",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2005,28.080008,-80.560856,Federal,Federal,Emergency,"19,536.00","579,000.00",0.00,0.820,0.00,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2010,28.080008,-80.560856,Federal,Federal,Shore Protection,"20,064.00","630,000.00","12,400,000.00",0.916,"13,537,117.90",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2014,28.080008,-80.560856,Federal,Federal,Emergency,"17,424.00","692,418.00","11,212,164.00",0.994,"11,279,843.06",http://spacecoastdaily.com/2013/05/brevard-shoreline-renourishment-begins-in-november/,,,
Brigantine,NJ,1997,39.405826,-74.362421,State,State,Shore Protection,0.00,"1,200,000.00","6,000,000.00",0.676,"8,875,739.64",,,,
Brigantine,NJ,1999,39.405826,-74.362421,Federal,Federal,Shore Protection,"9,504.00","999,827.00","4,970,000.00",0.699,"7,110,157.37",,,,
Brigantine,NJ,2001,39.405826,-74.362421,Federal,Federal,Emergency,"2,700.00","615,000.00",0.00,0.746,0.00,,,,
Brigantine,NJ,2006,39.405826,-74.362421,Federal,Federal,Shore Protection,"9,504.00","672,000.00","15,000,000.00",0.847,"17,709,563.16",,,,
