location,state,year,lat,long,Primary Funding Source ,fund_source,fund_type,length,volume,actual_cost,2016 CF$,cost_2016,$/CY,CY/Foot,Other Funding Info,Source/Comment
Bethany/South Bethany Beach,DE,1992,38.516525,-75.052564,State,State,Unknown,"4,850","192,749","905,786",0.588,"1,540,452",190,,,
Bethany/South Bethany Beach,DE,1994,38.516525,-75.052564,State,State,Unknown,"2,550","98,419","452,165",0.621,"728,124",190,,,
Bethany/South Bethany Beach,DE,1998,38.516525,-75.052564,State,State,Unknown,"3,400","168,900","707,635",0.685,"1,033,044",,,,
Bethany/South Bethany Beach,DE,1992,38.539808,-75.053873,State,State,Unknown,"5,138","219,735","1,037,303",0.588,"1,764,121",190,,,
Bethany/South Bethany Beach,DE,1994,38.539808,-75.053873,State,State,Unknown,"4,150","184,452","838,953",0.621,"1,350,971",,,,
Bethany/South Bethany Beach,DE,1998,38.539808,-75.053873,State,State,Unknown,"5,138","321,700","1,321,572",0.685,"1,929,302",,,,
Bethany/South Bethany Beach,DE,2008,38.539808,-75.053873,Federal,Federal,Shore Protection,"14,950","3,800,000","27,700,000",0.904,"30,641,593",,,,
Bethany/South Bethany Beach,DE,2011,38.539808,-75.053873,Federal,Federal,Emergency,"10,500","437,000","4,653,751",0.964,"4,827,543",,,,
Bethany/South Bethany Beach,DE,2012,38.539808,-75.053873,Federal,Federal,Shore Protection,"10,500","1,159,000","11,426,808",0.964,"11,853,535",,,,
Bethany/South Bethany Beach,DE,2013,38.539808,-75.053873,Federal,Federal,Emergency,"11,000","476,000","6,662,452",0.978,"6,812,323",https://www.fbo.gov/?s=opportunity&mode=form&tab=core&id=91defcdba46baa1b2b7b6f76c8004181&_cview=0,,,
Blake Island State Park,WA,2000,47.542932,-122.504597,Unknown,Unknown,Unknown,600,"3,500","18,000",0.725,"24,828",,,,
Block Island Harbor,RI,2009,41.177052,-71.563161,Federal,Federal,Navigation,0,"7,674","111,471",0.901,"123,719",,,,
Block Island Harbor,RI,2012,41.177052,-71.563161,Federal,Federal,Navigation,"3,000","3,000",0,0.964,0,http://www.nae.usace.army.mil/portals/74/docs/Navigation/BlockIsland4Jun12.pdf,,,
Bowers Beach,DE,1998,39.061499,-75.396992,State,State,Unknown,"2,200","101,405",0,0.685,0,,,,
Breezy Point/Roxbury,NY,1994,40.558992,-73.929116,Federal,Federal,Navigation,"7,500","199,000","1,288,000",0.621,"2,074,074",,,,
Brevard County: Mid Reach,FL,2005,28.150865,-80.582657,State,State,Emergency,"41,184","307,300","9,446,935",0.820,"11,520,652",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2006,28.150865,-80.582657,Federal,Federal,Emergency,"41,184","127,584","4,219,006",0.847,"4,981,117",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2008,28.150865,-80.582657,State,State,Emergency,"41,184","95,777","2,266,715",0.904,"2,507,428",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Mid Reach,FL,2009,28.150865,-80.582657,Federal,Federal,Emergency,"41,184","91,822","2,222,613",0.901,"2,466,829",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1994,28.36784,-80.602083,Federal,Federal,Shore Protection,"5,100","100,000","190,000",0.621,"305,958",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1995,28.36784,-80.602083,Federal,Federal,Navigation,0,"742,000","3,601,942",0.641,"5,619,254",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,1996,28.36784,-80.602083,Federal,Federal,Shore Protection,"2,500","40,000","341,000",0.658,"518,237",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2001,28.36784,-80.602083,Federal,Federal,Shore Protection,"49,632","3,204,900","22,628,432",0.746,"30,333,019",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2005,28.36784,-80.602083,Federal,Federal,Emergency,"31,416","755,000",0,0.820,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach,FL,2014,28.36784,-80.602083,Federal,Federal,Emergency,"36,960","972,410","11,920,207",0.994,"11,992,160",http://spacecoastdaily.com/2013/05/brevard-shoreline-renourishment-begins-in-november/,,,
Brevard County: North Reach (NSD),FL,1992,28.318587,-80.60739,Federal,Federal,Navigation,0,"79,000",0,0.588,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1993,28.318587,-80.60739,Federal,Federal,Navigation,0,"50,000",0,0.606,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1994,28.318587,-80.60739,Federal,Federal,Navigation,0,"68,000",0,0.621,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: North Reach (NSD),FL,1995,28.318587,-80.60739,Federal,Federal,Navigation,0,"122,000",0,0.641,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,1996,28.238729,-80.600921,Federal,Federal,Shore Protection,"18,000","100,000","1,300,000",0.658,"1,975,684",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,1998,28.238729,-80.600921,Federal,Federal,Shore Protection,0,"165,000",0,0.685,0,,,,
Brevard County: Patrick Air Force Base,FL,2001,28.238729,-80.600921,Federal,Federal,Shore Protection,"15,840","598,000","500,000",0.746,"670,241",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,2005,28.238729,-80.600921,Federal,Federal,Emergency,"10,200","350,000",0,0.820,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Patrick Air Force Base,FL,2011,28.238729,-80.600921,Federal,Federal,Shore Protection,0,"60,000",0,0.964,0,,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1995,28.390947,-80.595667,Federal,Federal,Navigation,0,"783,000",0,0.641,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,1998,28.390947,-80.595667,Federal,Federal,Navigation,0,"1,035,000",0,0.685,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,2007,28.390947,-80.595667,Federal,Federal,Navigation,0,"750,000",0,0.871,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Port Canaveral Harbor Sand Bypass,FL,2010,28.390947,-80.595667,Federal,Federal,Navigation,0,"650,000",0,0.916,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1990,27.859054,-80.446873,State,State,Unknown,0,"235,000","735,450",0.571,"1,288,004",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1993,27.859054,-80.446873,State,State,Unknown,0,"116,520","675,093",0.606,"1,114,015",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,State,Unknown,0,"290,000",0,0.676,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,1997,27.859054,-80.446873,State,State,Unknown,0,"236,000",0,0.676,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2006,27.859054,-80.446873,Federal,Federal,Emergency,"70,800","47,770","1,581,000",0.847,"1,866,588",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2008,27.859054,-80.446873,State,State,Emergency,"70,800","30,948","733,285",0.904,"811,156",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2009,27.859054,-80.446873,Federal,Federal,Emergency,"70,800","69,132","1,673,387",0.901,"1,857,255",,,,
Brevard County: Sebastian Inlet (South Beaches),FL,2014,27.859054,-80.446873,Federal,Federal,Emergency,"70,800","47,248","1,673,387",0.994,"1,683,488",,,,
Brevard County: South Reach/Indialantic,FL,2002,28.080008,-80.560856,Federal,Federal,Shore Protection,"15,840","1,250,000","7,330,662",0.758,"9,671,058",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2003,28.080008,-80.560856,Federal,Federal,Shore Protection,"4,962","324,000","1,900,107",0.775,"2,451,751",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2005,28.080008,-80.560856,Federal,Federal,Emergency,"19,536","579,000",0,0.820,0,http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2010,28.080008,-80.560856,Federal,Federal,Shore Protection,"20,064","630,000","12,400,000",0.916,"13,537,118",http://www.brevardcounty.us/NaturalResources/Beaches/RestorationProjects#SouthReach,,,
Brevard County: South Reach/Indialantic,FL,2014,28.080008,-80.560856,Federal,Federal,Emergency,"17,424","692,418","11,212,164",0.994,"11,279,843",http://spacecoastdaily.com/2013/05/brevard-shoreline-renourishment-begins-in-november/,,,
Brigantine,NJ,1997,39.405826,-74.362421,State,State,Shore Protection,0,"1,200,000","6,000,000",0.676,"8,875,740",,,,
Brigantine,NJ,1999,39.405826,-74.362421,Federal,Federal,Shore Protection,"9,504","999,827","4,970,000",0.699,"7,110,157",,,,
Brigantine,NJ,2001,39.405826,-74.362421,Federal,Federal,Emergency,"2,700","615,000",0,0.746,0,,,,
Brigantine,NJ,2006,39.405826,-74.362421,Federal,Federal,Shore Protection,"9,504","672,000","15,000,000",0.847,"17,709,563",,,,
Brigantine,NJ,2011,39.405826,-74.362421,Federal,Federal,Emergency,"9,504","175,000","3,020,000",0.964,"3,132,780",,,,
Brigantine,NJ,2013,39.405826,-74.362421,Federal,Federal,Emergency,0,"90,000","1,377,551",0.978,"1,408,539",https://www.fbo.gov/index?s=opportunity&mode=form&id=6678ffd5ec6005b07b4c3c71f36f0d3f&tab=core&_cview=1,,,
Brigantine,NJ,2013,39.405826,-74.362421,Federal,Federal,Emergency,"9,504","667,000","4,500,000",0.978,"4,601,227",,,,
Broadkill Beach,DE,2011,38.82794,-75.212574,State,State,Emergency,"5,300","30,000",0,0.964,0,,,,
Broward County: Hillsboro Beach,FL,1998,26.293954,-80.077651,Unknown,Unknown,Unknown,"6,120","555,000",0,0.685,0,,,,
Broward County: Hillsboro Beach,FL,2006,26.293954,-80.077651,State,State,Unknown,0,0,"4,515,000",0.847,"5,330,579",,,,
Broward County: Hillsboro Beach,FL,2011,26.293954,-80.077651,State,State,Unknown,"6,336","339,151",0,0.964,0,https://www.dep.state.fl.us/beaches/publications/pdf/SBMP/SoutheastAtlanticCoastRegionSBMP.pdf,,,
Broward County: Segment II/John U Lloyd State Park,FL,2006,26.071056,-80.110524,Federal,Federal,Shore Protection,"7,920","545,000","13,194,450",0.847,"15,577,863",http://www.broward.org/BeachRenourishment/Pages/ProjectCompleted.aspx,,,
Broward County: Segment II/Pompano Beach/Lauderdale by the Sea,FL,2014,26.215015,-80.090772,Federal,Federal,Shore Protection,"26,928","126,700","7,070,370",0.994,"7,113,048",http://www.saj.usace.army.mil/Media/NewsReleases/tabid/6071/Article/479978/corps-completes-broward-county-beach-renourishment.aspx,,,
Broward County: Segment III/Hollywood/Hallandale,FL,1991,25.997048,-80.116382,Federal,Federal,Shore Protection,"27,456","1,050,000","9,186,444",0.571,"16,088,343",,,,
Broward County: Segment III/Hollywood/Hallandale,FL,2006,25.997048,-80.116382,Federal,Federal,Shore Protection,"27,456","1,837,600","31,293,846",0.847,"36,946,689",http://www.broward.org/BeachRenourishment/Pages/ProjectCompleted.aspx,,,
