location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
"Morro Dunes Natural Preserve, San Luis Obispo",CA,1990,35.274073,-120.888534,Federal,Navigation,2500.00,430315.00,0.00,0.56,0.00,0.00,172.13
Myrtle Beach,SC,1990,33.687161,-78.883097,Federal,Emergency,44880.00,380000.00,2600000.00,0.56,4634581.11,6.84,8.47
Nassau County: Fernandina Beach,FL,1990,30.669182,-81.465576,Federal,Navigation,0.00,147693.00,625818.00,0.56,1115540.11,4.24,#DIV/0!
North Indian River Inlet,DE,1990,38.606274,-75.061169,Federal,Section 111,3500.00,175000.00,2500000.00,0.56,4456327.99,14.29,50.00
North Myrtle Beach,SC,1990,33.814998,-78.679404,Federal,Emergency,42360.00,377200.00,1950000.00,0.56,3475935.83,5.17,8.90
Ocean City,NJ,1990,39.264158,-74.589958,Unknown,Unknown,0.00,40000.00,0.00,0.56,0.00,0.00,#DIV/0!
"Oceanside City Beach, San Diego County",CA,1990,33.195173,-117.385526,Unknown,Navigation,0.00,500000.00,0.00,0.56,0.00,0.00,#DIV/0!
Palm Beach County: Lake Worth Inlet (South Beach),FL,1990,26.61416,-80.036538,Federal,Navigation,0.00,75351.00,319284.00,0.56,569133.69,4.24,#DIV/0!
Pea Island,NC,1990,35.727144,-75.496674,Federal,Navigation,2000.00,254955.00,0.00,0.56,0.00,0.00,127.48
Pickering Beach,DE,1990,39.137284,-75.409094,Unknown,Unknown,0.00,55400.00,0.00,0.56,0.00,0.00,#DIV/0!
Pinellas County: Sand Key/Indian Rocks Beach (Phase II),FL,1990,27.892752,-82.85077,Federal,Shore Protection,13728.00,1300000.00,14500000.00,0.56,25846702.32,11.15,94.70
"San Buenaventura State Beach, Ventura County",CA,1990,34.266279,-119.277771,Unknown,Shore Protection,0.00,150000.00,0.00,0.56,0.00,0.00,#DIV/0!
Sandy Hook,NJ,1990,40.455046,-73.989172,Federal,Shore Protection,0.00,3302273.00,1350000.00,0.56,2406417.11,0.41,#DIV/0!
Sarasota County: Lido Key,FL,1990,27.31009,-82.576313,Unknown,Unknown,3600.00,240000.00,0.00,0.56,0.00,0.00,66.67
Sea Island,GA,1990,31.179708,-81.346555,Local,Unknown,10560.00,2000000.00,6000000.00,0.56,10695187.17,3.00,189.39
Seabrook Island,SC,1990,32.559912,-80.170637,Local,Unknown,5808.00,685000.00,1660000.00,0.56,2959001.78,2.42,117.94
St. Lucie County: Ft. Pierce Beach,FL,1990,27.441207,-80.32097,Federal,Navigation,6864.00,55700.00,236017.00,0.56,420707.66,4.24,8.11
Surfside Beach,SC,1990,33.605327,-78.970928,Federal,Emergency,5000.00,70544.00,581250.00,0.56,1036096.26,8.24,14.11
"Surfside/Sunset Beach, Orange County",CA,1990,33.718895,-118.075089,Federal,Shore Protection,0.00,1826000.00,6900000.00,0.56,12299465.24,3.78,#DIV/0!
"Twin Lakes State Beach, Santa Cruz Co.",CA,1990,36.962169,-121.99811,Federal,Navigation,0.00,173567.00,0.00,0.56,0.00,0.00,#DIV/0!
Virginia Beach,VA,1990,36.853733,-75.975094,Local,Unknown,18480.00,94586.00,0.00,0.56,0.00,0.00,5.12
West Onslow Beach,NC,1990,34.535400,-77.326648,Federal,Navigation,4000.00,101653.00,417984.00,0.56,745069.52,4.11,25.41
Westerly,RI,1990,41.30976,-71.860929,Local,Unknown,400.00,0.00,0.00,0.56,0.00,0.00,0.00
Barnegat Light,NJ,1991,39.764626,-74.105426,Federal,Navigation,0.00,75000.00,326087.00,0.59,557413.68,4.35,#DIV/0!
Broward County: Segment III/Hollywood/Hallandale,FL,1991,25.997048,-80.116382,Federal,Shore Protection,27456.00,1050000.00,9186444.00,0.59,15703323.08,8.75,38.24
"Cabrillo Beach, Los Angeles County",CA,1991,33.711168,-118.283443,Unknown,Unknown,0.00,220000.00,0.00,0.59,0.00,0.00,#DIV/0!
Cape May Inlet to Lower Township,NJ,1991,38.941653,-74.883331,Federal,Shore Protection,8000.00,1365000.00,10526000.00,0.59,17993162.39,7.71,170.63
"Carlsbad State Beach Park, San Diego County",CA,1991,33.14769,-117.345159,Unknown,Unknown,0.00,489000.00,0.00,0.59,0.00,0.00,#DIV/0!
"Carlsbad State Beach Park, San Diego County",CA,1991,33.14769,-117.345159,Unknown,Unknown,0.00,115395.00,0.00,0.59,0.00,0.00,#DIV/0!
Carolina Beach,NC,1991,34.038772,-77.888904,Federal,Shore Protection,11600.00,1008736.00,2450286.00,0.59,4188523.08,2.43,86.96
Collier County: Barefoot Beach,FL,1991,26.328326,-81.845065,Federal,Navigation,0.00,0.00,0.00,0.59,0.00,0.00,#DIV/0!
Collier County: Marco Island,FL,1991,25.935122,-81.733904,Unknown,Unknown,13939.00,1264299.00,0.00,0.59,0.00,0.00,90.70
Collier County: Marco Island,FL,1991,25.935122,-81.733904,Unknown,Unknown,6000.00,575000.00,0.00,0.59,0.00,0.00,95.83
Fenwick Island,DE,1991,38.462461,-75.049388,Federal,Shore Protection,1600.00,126800.00,443603.00,0.59,758295.73,3.50,79.25
Grand Isle,LA,1991,29.235874,-89.986632,Unknown,Emergency,0.00,1422000.00,10934000.00,0.59,18690598.29,7.69,#DIV/0!
Great South Beach,NY,1991,40.752751,-72.798758,Local,Unknown,0.00,3000.00,10435.00,0.59,17837.61,3.48,#DIV/0!
Hunting Island,SC,1991,32.362554,-80.441927,State,Unknown,7920.00,757644.00,2876250.00,0.59,4916666.67,3.80,95.66
Martin County: Jupiter Island,FL,1991,27.032179,-80.09943,Unknown,Unknown,0.00,414812.00,1803530.00,0.59,3082957.26,4.35,#DIV/0!
Miami-Dade County: Fisher Island,FL,1991,25.759904,-80.136144,Unknown,Unknown,2060.00,30263.00,131578.00,0.59,224919.66,4.35,14.69
North Indian River Inlet,DE,1991,38.606274,-75.061169,Federal,Section 111,3500.00,82330.00,299565.00,0.59,512076.92,3.64,23.52
Ocean City,NJ,1991,39.264158,-74.589958,Federal,Navigation,0.00,100000.00,0.00,0.59,0.00,0.00,#DIV/0!
Ocean City   ,MD,1991,38.38392,-75.06237,Federal,Shore Protection,43824.00,3800000.00,48000000.00,0.59,82051282.05,12.63,86.71
Palm Beach County: Lake Worth Inlet (South Beach),FL,1991,26.61416,-80.036538,Federal,Navigation,0.00,87335.00,379717.00,0.59,649088.89,4.35,#DIV/0!
Pea Island,NC,1991,35.727144,-75.496674,Federal,Navigation,2500.00,282600.00,0.00,0.59,0.00,0.00,113.04
Pinellas County: Long Key/Pass-A-Grille,FL,1991,27.692449,-82.737851,Federal,Shore Protection,5280.00,100000.00,,0.59,0.00,0.00,18.94
Pinellas County: Long Key/Upham Beach,FL,1991,27.736415,-82.753655,Federal,Shore Protection,2112.00,230000.00,2200000.00,0.59,3760683.76,9.57,108.90
Pinellas County: Treasure Island/Sunshine Beach,FL,1991,27.773736,-82.778607,Federal,Navigation,2112.00,56000.00,0.00,0.59,0.00,0.00,26.52
"Redondo Beach, Los Angeles County",CA,1991,33.854094,-118.399572,Federal,Navigation,0.00,6000.00,0.00,0.59,0.00,0.00,#DIV/0!
Sarasota County: Lido Key,FL,1991,27.31009,-82.576313,State,Unknown,3900.00,0.00,1500000.00,0.59,2564102.56,#DIV/0!,0.00
"Twin Lakes State Beach, Santa Cruz Co.",CA,1991,36.962169,-121.99811,Federal,Navigation,0.00,163250.00,0.00,0.59,0.00,0.00,#DIV/0!
Virginia Beach,VA,1991,36.853733,-75.975094,Local,Unknown,18480.00,195419.00,0.00,0.59,0.00,0.00,10.57
West Ship Island,MS,1991,30.211979,-88.973508,State,Unknown,676.00,58000.00,0.00,0.59,0.00,0.00,85.80
Wildwood,NJ,1991,38.978995,-74.817971,Federal,Navigation,0.00,100000.00,434783.00,0.59,743218.80,4.35,#DIV/0!
Wrightsville Beach,NC,1991,34.207242,-77.793460,Federal,Shore Protection,6864.00,1016684.00,2682412.00,0.59,4585319.66,2.64,148.12
Avalon,NJ,1992,39.100226,-74.71055,Local,Unknown,3000.00,410000.00,1188000.00,0.60,1973421.93,2.90,136.67
Bald Head Island,NC,1992,33.855876,-77.999067,Federal,Navigation,12300.00,800000.00,900000.00,0.60,1495016.61,1.13,65.04
Beesleys Point,NJ,1992,39.287496,-74.626657,Unknown,Unknown,0.00,23000.00,0.00,0.60,0.00,0.00,#DIV/0!
Bethany/South Bethany Beach,DE,1992,38.516525,-75.052564,State,Unknown,4850.00,192749.00,905786.00,0.60,1504627.91,4.70,39.74
Bethany/South Bethany Beach,DE,1992,38.539808,-75.053873,State,Unknown,5138.00,219735.00,1037303.00,0.60,1723094.68,4.72,42.77
Brevard County: North Reach (NSD),FL,1992,28.318587,-80.60739,Federal,Navigation,0.00,79000.00,0.00,0.60,0.00,0.00,#DIV/0!
Camp Ellis,ME,1992,43.466719,-70.381937,Federal,Navigation,0.00,85935.00,767277.00,0.60,1274546.51,8.93,#DIV/0!
Cape May,NJ,1992,38.929502,-74.924212,State,Unknown,0.00,42000.00,187500.00,0.60,311461.79,4.46,#DIV/0!
Cape May,NJ,1992,38.929502,-74.924212,Unknown,Unknown,0.00,200000.00,261905.00,0.60,435058.14,1.31,#DIV/0!
"Carlsbad State Beach Park, San Diego County",CA,1992,33.14769,-117.345159,Unknown,Unknown,0.00,126000.00,0.00,0.60,0.00,0.00,#DIV/0!
Duval County: Jacksonville Beach,FL,1992,30.285688,-81.387652,Federal,Shore Protection,8800.00,370000.00,2070000.00,0.60,3438538.21,5.59,42.05
"East Beach, Santa Barbara",CA,1992,34.409813,-119.690552,Federal,Navigation,0.00,600000.00,0.00,0.60,0.00,0.00,#DIV/0!
Fenwick Island,DE,1992,38.462461,-75.049388,Federal,Shore Protection,1600.00,37000.00,269234.00,0.60,447232.56,7.28,23.13
Fenwick Island,DE,1992,38.462461,-75.049388,State,Unknown,4150.00,144900.00,716916.00,0.60,1190890.37,4.95,34.92
Figure Eight Island - South End,NC,1992,34.252534,-77.758791,Private,Shore Protection,0.00,343000.00,0.00,0.60,0.00,0.00,#DIV/0!
Gilgo Beach,NY,1992,40.617373,-73.397169,Federal,Navigation,14000.00,1515000.00,10225000.00,0.60,16985049.83,6.75,108.21
Hatteras Island,NC,1992,35.19562,-75.728931,Federal,Navigation,181.00,18147.00,184840.00,0.60,307043.19,10.19,100.26
Long Beach Island: Harvey Cedars,NJ,1992,39.705998,-74.132245,Unknown,Unknown,0.00,110000.00,491071.00,0.60,815732.56,4.46,#DIV/0!
Long Beach Island: Loveladies,NJ,1992,39.723635,-74.134541,Federal,Unknown,0.00,183000.00,0.00,0.60,0.00,0.00,#DIV/0!
Ludlum Beach Island: Strathmere,NJ,1992,39.194613,-74.657435,State,Unknown,0.00,23000.00,102679.00,0.60,170563.12,4.46,#DIV/0!
Misquamicut Beach,ME,1992,41.322492,-71.804752,Local,Unknown,4800.00,25000.00,200893.00,0.60,333709.30,8.04,5.21
"Newport Beach, Orange County",CA,1992,33.61562,-117.935572,Unknown,Unknown,0.00,1300000.00,0.00,0.60,0.00,0.00,#DIV/0!
North Indian River Inlet,DE,1992,38.606274,-75.061169,Federal,Section 111,3500.00,67670.00,178571.00,0.60,296629.57,2.64,19.33
Ocean City,NJ,1992,39.264158,-74.589958,Federal,Shore Protection,13000.00,2618000.00,10952000.00,0.60,18192691.03,4.18,201.38
Ocean City   ,MD,1992,38.38392,-75.06237,Federal,Emergency,0.00,1221388.00,10800000.00,0.60,17940199.34,8.84,#DIV/0!
Ocracoke Island,NC,1992,35.177176,-75.782661,Federal,Navigation,1000.00,100000.00,653748.00,0.60,1085960.13,6.54,100.00
Palm Beach County: Delray Beach,FL,1992,26.462092,-80.057373,Federal,Shore Protection,8976.00,1196500.00,4862000.00,0.60,8076411.96,4.06,133.30
Palm Beach County: Palm Beach,FL,1992,26.705425,-80.032884,Federal,Unknown,10296.00,1200000.00,3993528.00,0.60,6633767.44,3.33,116.55
Pea Island,NC,1992,35.727144,-75.496674,Federal,Navigation,5400.00,1078000.00,0.00,0.60,0.00,0.00,199.63
Pea Island,NC,1992,35.727144,-75.496674,Federal,Navigation,4000.00,184300.00,0.00,0.60,0.00,0.00,46.08
"Pinellas County: Sand Key/Indian Shores, Redington Shores & North Redington Beach (Phase III)",FL,1992,27.833119,-82.836169,Federal,Shore Protection,15840.00,850000.00,11700000.00,0.60,19435215.95,13.76,53.66
Plumb Beach,NY,1992,40.583648,-73.927345,Federal,Navigation,1000.00,145000.00,1329000.00,0.60,2207641.20,9.17,145.00
"Revere Beach, Revere ",MA,1992,42.424961,-70.982044,Federal,Unknown,15840.00,768000.00,6030000.00,0.60,10016611.30,7.85,48.48
Topsail Island,NC,1992,34.351940,-77.644415,Federal,Navigation,755.00,75519.00,177830.00,0.60,295398.67,2.35,100.03
"Twin Lakes State Beach, Santa Cruz Co.",CA,1992,36.962169,-121.99811,Federal,Navigation,0.00,160000.00,0.00,0.60,0.00,0.00,#DIV/0!
Virginia Beach,VA,1992,36.853733,-75.975094,Local,Unknown,18480.00,265659.00,0.00,0.60,0.00,0.00,14.38
Avalon,NJ,1993,39.100226,-74.71055,Federal,Emergency,2800.00,239000.00,1777193.00,0.62,2866440.32,7.44,85.36
Brevard County: North Reach (NSD),FL,1993,28.318587,-80.60739,Federal,Navigation,0.00,50000.00,0.00,0.62,0.00,0.00,#DIV/0!
Brevard County: Sebastian Inlet (South Beaches),FL,1993,27.859054,-80.446873,State,Unknown,0.00,116520.00,675093.00,0.62,1088859.68,5.79,#DIV/0!
Cape May,NJ,1993,38.929502,-74.924212,Federal,Emergency,0.00,300000.00,2135000.00,0.62,3443548.39,7.12,#DIV/0!
Cape May Inlet to Lower Township,NJ,1993,38.941653,-74.883331,Federal,Emergency,0.00,300000.00,2200000.00,0.62,3548387.10,7.33,#DIV/0!
Cape May Inlet to Lower Township,NJ,1993,38.941653,-74.883331,Federal,Shore Protection,4800.00,415000.00,2400000.00,0.62,3870967.74,5.78,86.46
"Carlsbad State Beach Park, San Diego County",CA,1993,33.14769,-117.345159,Unknown,Shore Protection,0.00,115000.00,0.00,0.62,0.00,0.00,#DIV/0!
Collier County: Wiggins State Park,FL,1993,26.281699,-81.830088,Federal,Navigation,0.00,35000.00,88303.00,0.62,142424.19,2.52,#DIV/0!
Dewey Beach,DE,1993,38.69298,-75.07179,State,Unknown,1900.00,5755.00,30210.00,0.62,48725.81,5.25,3.03
"East Beach, Santa Barbara",CA,1993,34.409813,-119.690552,Federal,Navigation,0.00,600000.00,0.00,0.62,0.00,0.00,#DIV/0!
Emerald Isle Point,NC,1993,34.645027,-77.097867,Federal,Navigation,0.00,17000.00,0.00,0.62,0.00,0.00,#DIV/0!
Figure Eight Island - North End,NC,1993,34.287396,-77.721065,Private,Shore Protection,3000.00,275000.00,0.00,0.62,0.00,0.00,91.67
Folly Beach,SC,1993,32.654263,-79.939721,Federal,Shore Protection,27984.00,2800000.00,15000000.00,0.62,24193548.39,5.36,100.06
Laurence Harbor,NJ,1993,40.458507,-74.24552,State,Unknown,0.00,39000.00,0.00,0.62,0.00,0.00,#DIV/0!
Lee County: Gasparilla Island,FL,1993,26.772966,-82.267288,Federal,Navigation,10400.00,0.00,2500000.00,0.62,4032258.06,#DIV/0!,0.00
Manatee County: Anna Maria Key,FL,1993,27.487539,-82.707858,Federal,Shore Protection,24816.00,2200000.00,8450000.00,0.62,13629032.26,3.84,88.65
Manatee County/Sarasota County: Longboat Key,FL,1993,27.411776,-82.660484,Federal,Shore Protection,49104.00,3130000.00,18665138.00,0.62,30105061.29,5.96,63.74
Martin County: Jupiter Island,FL,1993,27.032179,-80.09943,Unknown,Unknown,0.00,203736.00,934569.00,0.62,1507369.35,4.59,#DIV/0!
"Morro Dunes Natural Preserve, San Luis Obispo",CA,1993,35.274073,-120.888534,Federal,Navigation,0.00,840000.00,2192000.00,0.62,3535483.87,2.61,#DIV/0!
Nassau County: Fernandina Beach,FL,1993,30.669182,-81.465576,Federal,Navigation,0.00,654000.00,3905230.00,0.62,6298758.06,5.97,0.00
North Indian River Inlet,DE,1993,38.606274,-75.061169,Federal,Section 111,3500.00,67800.00,0.00,0.62,0.00,0.00,19.37
Oak Island,NC,1993,33.908570,-78.110991,Federal,Navigation,1601.00,160091.00,1389987.00,0.62,2241914.52,8.68,99.99
Ocean City,NJ,1993,39.264158,-74.589958,Federal,Emergency,0.00,846000.00,2915131.00,0.62,4701824.19,3.45,#DIV/0!
Ocean City,NJ,1993,39.264158,-74.589958,Federal,Shore Protection,11800.00,2727000.00,14571909.00,0.62,23503079.03,5.34,231.10
Ocean City   ,MD,1993,38.38392,-75.06237,Federal,Emergency,0.00,223515.00,960000.00,0.62,1548387.10,4.30,#DIV/0!
Pea Island,NC,1993,35.727144,-75.496674,Federal,Navigation,2500.00,433235.00,0.00,0.62,0.00,0.00,173.29
Pinellas County: Belleair Beach,FL,1993,27.923516,-82.844338,State,Unknown,0.00,82300.00,358647.00,0.62,578462.90,4.36,#DIV/0!
"Silver Strand Beach, Ventura County",CA,1993,34.151129,-119.218676,Federal,Navigation,0.00,300000.00,0.00,0.62,0.00,0.00,#DIV/0!
Topsail Island,NC,1993,34.351940,-77.644415,Federal,Navigation,802.00,80162.00,269659.00,0.62,434933.87,3.36,99.95
Virginia Beach,VA,1993,36.853733,-75.975094,Local,Unknown,18480.00,311790.00,0.00,0.62,0.00,0.00,16.87
West of Shinnecock Inlet/Tiana Beach,NY,1993,40.830908,-72.514164,Federal,Shore Protection,3000.00,500000.00,1650000.00,0.62,2661290.32,3.30,166.67
Westerly,RI,1993,41.30976,-71.860929,Local,Unknown,0.00,0.00,0.00,0.62,0.00,0.00,#DIV/0!
Westhampton Beach,NY,1993,40.794643,-72.639198,Federal,Navigation,0.00,1440000.00,5364030.00,0.62,8651661.29,3.73,0.00
Atlantic Beach/Fort Macon,NC,1994,34.694626,-76.705685,Federal,Navigation,24737.00,4664000.00,3794727.00,0.64,5966551.89,0.81,188.54
Atlantic Highlands,NJ,1994,40.441558,-74.098799,State,Unknown,0.00,24000.00,0.00,0.64,0.00,0.00,#DIV/0!
Beach Plum Island,DE,1994,38.799109,-75.178615,State,Unknown,0.00,15000.00,0.00,0.64,0.00,0.00,#DIV/0!
Belmar/Spring Lake,NJ,1994,40.150144,-74.022303,State,Unknown,1180.00,70000.00,347199.00,0.64,545910.38,4.96,59.32
Belmar/Spring Lake,NJ,1994,40.164707,-74.017639,State,Unknown,0.00,70000.00,0.00,0.64,0.00,0.00,#DIV/0!
Bethany/South Bethany Beach,DE,1994,38.539808,-75.053873,State,Unknown,4150.00,184452.00,838953.00,0.64,1319108.49,4.55,44.45
Bethany/South Bethany Beach,DE,1994,38.516525,-75.052564,State,Unknown,2550.00,98419.00,452165.00,0.64,710951.26,4.59,38.60
Breezy Point/Roxbury,NY,1994,40.558992,-73.929116,Federal,Navigation,7500.00,199000.00,1288000.00,0.64,2025157.23,6.47,26.53
Brevard County: North Reach,FL,1994,28.36784,-80.602083,Federal,Shore Protection,5100.00,100000.00,190000.00,0.64,298742.14,1.90,19.61
Brevard County: North Reach (NSD),FL,1994,28.318587,-80.60739,Federal,Navigation,0.00,68000.00,0.00,0.64,0.00,0.00,#DIV/0!
"Carlsbad State Beach Park, San Diego County",CA,1994,33.14769,-117.345159,Unknown,Unknown,0.00,158996.00,0.00,0.64,0.00,0.00,#DIV/0!
Dewey Beach,DE,1994,38.69298,-75.07179,Federal,Shore Protection,1385.00,14004.00,60000.00,0.64,94339.62,4.28,10.11
Dewey Beach,DE,1994,38.69298,-75.07179,State,Unknown,6000.00,578874.00,2342230.00,0.64,3682751.57,4.05,96.48
Duval County: Kathryn Abbey Hanna Park,FL,1994,30.369913,-81.397405,Federal,Navigation,0.00,700000.00,3301887.00,0.64,5191646.23,4.72,0.00
Fenwick Island,DE,1994,38.462461,-75.049388,Federal,Emergency,2300.00,68236.00,369809.00,0.64,581460.69,5.42,29.67
Fire Island: Fire Island Pines,NY,1994,40.663322,-73.067322,Local,Unknown,6300.00,150000.00,900000.00,0.64,1415094.34,6.00,23.81
Fire Island: Ocean Bay Park,NY,1994,40.646945,-73.139323,Local,Unknown,2600.00,140000.00,800000.00,0.64,1257861.64,5.71,53.85
Fire Island: Point O' Woods,NY,1994,40.649827,-73.127789,Local,Unknown,4300.00,75000.00,450000.00,0.64,707547.17,6.00,17.44
Fire Island: Saltaire/Fair Harbor/Dunewood,NY,1994,40.636167,-73.18903,Local,Unknown,8500.00,550000.00,3000000.00,0.64,4716981.13,5.45,64.71
Fire Island: Seaview,NY,1994,40.645146,-73.147981,Local,Unknown,3000.00,55000.00,330000.00,0.64,518867.92,6.00,18.33
Gilgo Beach,NY,1994,40.617373,-73.397169,Federal,Navigation,18000.00,1500000.00,11183000.00,0.64,17583333.33,7.46,83.33
Grand Isle,LA,1994,29.235874,-89.986632,Federal,Shore Protection,0.00,310000.00,2491000.00,0.64,3916666.67,8.04,#DIV/0!
Hempstead Beach,NY,1994,40.831541,-73.657837,Federal,Navigation,3000.00,560000.00,3771000.00,0.64,5929245.28,6.73,186.67
"Imperial Beach, San Diego County",CA,1994,32.582186,-117.13269,Federal,Navigation,0.00,240000.00,0.00,0.64,0.00,0.00,#DIV/0!
"Imperial Beach, San Diego County",CA,1994,32.582186,-117.13269,Federal,Navigation,0.00,51000.00,0.00,0.64,0.00,0.00,#DIV/0!
"Lincoln Park, King County",WA,1994,47.53156,-122.400248,Federal,Shore Protection,2500.00,1750.00,1316626.00,0.64,2070166.67,752.36,0.70
Long Beach Island: Harvey Cedars,NJ,1994,39.705998,-74.132245,State,Unknown,0.00,660000.00,3700000.00,0.64,5817610.06,5.61,#DIV/0!
"Long Beach, Los Angeles County",CA,1994,33.761239,-118.158517,Local,Shore Protection,2500.00,60000.00,0.00,0.64,0.00,0.00,24.00
Manatee County/Sarasota County: Longboat Key,FL,1994,27.411776,-82.660484,Federal,Unknown,6864.00,1320000.00,6102684.00,0.64,9595415.09,4.62,192.31
Masonboro Island,NC,1994,34.160540,-77.829380,Federal,Navigation,2400.00,362009.00,0.00,0.64,0.00,0.00,150.84
Miami-Dade County: Bal Harbour-Surfside-Miami Beach,FL,1994,25.878888,-80.120158,Unknown,Unknown,1056.00,120000.00,0.00,0.64,0.00,0.00,113.64
"Morro Strand State Beach South, San Luis Obispo",CA,1994,35.391011,-120.864967,Federal,Navigation,0.00,600000.00,0.00,0.64,0.00,0.00,#DIV/0!
Nassau County: Amelia Island,FL,1994,30.619762,-81.43914,Local,Unknown,1700.00,2159096.00,3500000.00,0.64,5503144.65,1.62,1270.06
North Indian Beach,DE,1994,38.683445,-75.070458,Private,Unknown,403.00,21000.00,61400.00,0.64,96540.88,2.92,52.11
North Indian River Inlet,DE,1994,38.606274,-75.061169,Federal,Section 111,3500.00,84570.00,0.00,0.64,0.00,0.00,24.16
Ocean City,NJ,1994,39.264158,-74.589958,Federal,Shore Protection,6336.00,606000.00,3217825.00,0.64,5059473.27,5.31,95.64
Palm Beach County: Lake Worth Inlet (South Beach),FL,1994,26.61416,-80.036538,Federal,Navigation,0.00,178000.00,839623.00,0.64,1320161.95,4.72,#DIV/0!
Palm Beach County: Palm Beach,FL,1994,26.705425,-80.032884,Federal,Unknown,5400.00,800000.00,2274400.00,0.64,3576100.63,2.84,148.15
Sarasota County: Venice Beach,FL,1994,27.100135,-82.460707,Federal,Shore Protection,16640.00,902254.00,19000000.00,0.64,29874213.84,21.06,54.22
"South Jetty, Grays Harbor",WA,1994,46.902453,-124.12876,Unknown,Unknown,0.00,600000.00,0.00,0.64,0.00,0.00,#DIV/0!
St. Lucie County: Ft. Pierce Beach,FL,1994,27.441207,-80.32097,Federal,Navigation,0.00,7190.00,33915.00,0.64,53325.47,4.72,#DIV/0!
"Twin Lakes State Beach, Santa Cruz Co.",CA,1994,36.962169,-121.99811,Federal,Navigation,0.00,75000.00,0.00,0.64,0.00,0.00,#DIV/0!
Tybee Island,GA,1994,31.999851,-80.842209,Federal,Navigation,0.00,2000000.00,0.00,0.64,0.00,0.00,#DIV/0!
Virginia Beach,VA,1994,36.853733,-75.975094,Local,Unknown,18480.00,303318.00,800000.00,0.64,1257861.64,2.64,16.41
Waveland,MS,1994,30.281454,-89.36923,State,Unknown,10400.00,600000.00,2000000.00,0.64,3144654.09,3.33,57.69
"Woodmont Shore, Milford",CT,1994,41.227846,-72.989881,Federal,Shore Protection,1500.00,225000.00,1184000.00,0.64,0.00,5.26,150.00
Wrightsville Beach,NC,1994,34.207242,-77.793460,Federal,Shore Protection,6400.00,619031.00,1973591.00,0.64,3103130.50,3.19,96.72
Absecon Island: Atlantic City,NJ,1995,39.357595,-74.421816,State,Unknown,5280.00,0.00,0.00,0.65,0.00,0.00,0.00
